COUNTY_NAME,2002,2007,2012,2017,2022
GWINNETT,0.0,21.0,0.0,0.0,0.0
HABERSHAM,0.0,0.0,0.0,43.0,124.0
HALL,0.0,0.0,0.0,0.0,120.0
HANCOCK,0.0,24.0,59.0,0.0,0.0
HARALSON,18.0,16.0,78.0,59.0,50.0
HARRIS,0.0,7.0,163.0,0.0,0.0
HART,8780.0,9447.0,193.0,9440.0,120.0
HEARD,66.0,16.0,0.0,17.0,10.0
IRWIN,60.0,16.0,40.0,30.0,0.0
JASPER,9.0,19.0,14.0,81.0,124.0
JEFF DAVIS,750.0,0.0,0.0,0.0,33.0
JENKINS,44.0,9.0,0.0,100.0,0.0
JONES,46.0,0.0,0.0,0.0,14.0
LANIER,99.0,0.0,0.0,10.0,29.0
LAURENS,1875.0,181.0,163.0,76.0,89.0
LONG,0.0,36.0,0.0,0.0,0.0
LUMPKIN,0.0,0.0,0.0,8.0,0.0
MCDUFFIE,0.0,13.0,22.0,28.0,42.0
MCINTOSH,0.0,0.0,24.0,0.0,0.0
MERIWETHER,0.0,66.0,0.0,0.0,0.0
MITCHELL,66076.0,0.0,126.0,30.0,0.0
MURRAY,0.0,0.0,0.0,88.0,97.0
MUSCOGEE,0.0,0.0,0.0,90.0,0.0
OCONEE,0.0,0.0,28.0,0.0,50.0
OGLETHORPE,0.0,25.0,35834.0,14678.0,42.0
PAULDING,0.0,18.0,0.0,0.0,87.0
PEACH,3.0,20.0,35.0,47.0,63.0
RABUN,0.0,0.0,71.0,0.0,43.0
RICHMOND,0.0,36.0,0.0,0.0,0.0
SCREVEN,332.0,21.0,0.0,0.0,0.0
SPALDING,0.0,0.0,18.0,9.0,10.0
STEPHENS,0.0,0.0,44.0,10.0,0.0
STEWART,95.0,0.0,0.0,0.0,0.0
TALBOT,15.0,0.0,0.0,24.0,0.0
TATTNALL,1040.0,63.0,11966.0,143.0,26.0
TELFAIR,265.0,35.0,0.0,0.0,0.0
THOMAS,1450.0,85.0,0.0,0.0,161.0
TIFT,18.0,17.0,0.0,0.0,0.0
TOOMBS,525.0,0.0,0.0,0.0,76.0
TREUTLEN,0.0,29.0,0.0,0.0,56.0
TROUP,6.0,76.0,0.0,0.0,63.0
TURNER,0.0,0.0,0.0,0.0,20.0
TWIGGS,368.0,57.0,0.0,0.0,13.0
UPSON,7.0,21.0,25.0,116.0,18.0
WARE,18.0,65.0,93.0,58.0,45.0
WARREN,0.0,6.0,0.0,36.0,0.0
WAYNE,272.0,0.0,28.0,0.0,114.0
WEBSTER,167.0,57.0,0.0,0.0,0.0
WHEELER,0.0,0.0,97.0,0.0,90.0
WHITFIELD,45.0,4.0,26.0,51.0,31.0
WILKES,0.0,15.0,80.0,0.0,6.0
WILKINSON,0.0,26.0,60.0,14.0,0.0
WORTH,0.0,0.0,61.0,15.0,17.0
HAWAII,1036.0,895.0,140.0,1785.0,877.0
HONOLULU,10236.0,1687.0,2413.0,796.0,248.0
KAUAI,198.0,132.0,134.0,365.0,344.0
MAUI & KALAWAO,0.0,0.0,0.0,0.0,296.0
MAUI & KALWAO,894.0,690.0,2241.0,1373.0,0.0
