COUNTY_NAME,2002,2007,2012,2017,2022
HENRY,828.0,58.0,80.0,97.0,10.0
HOUSTON,647.0,711.0,0.0,0.0,0.0
IRWIN,0.0,0.0,0.0,0.0,35.0
JASPER,594.0,0.0,0.0,0.0,6.0
JEFF DAVIS,0.0,0.0,60.0,0.0,0.0
JENKINS,4194.0,449.0,349.0,486.0,0.0
JONES,1182.0,0.0,0.0,0.0,0.0
LANIER,0.0,0.0,0.0,24.0,0.0
LAURENS,788.0,617.0,687.0,1766.0,11.0
LIBERTY,0.0,0.0,0.0,0.0,10.0
LUMPKIN,0.0,28.0,0.0,30.0,0.0
MCDUFFIE,6.0,643.0,16.0,0.0,17.0
MERIWETHER,141.0,327.0,0.0,0.0,369.0
MILLER,0.0,12.0,0.0,0.0,0.0
MITCHELL,17.0,4794.0,0.0,21.0,0.0
MONROE,1051.0,0.0,240.0,0.0,0.0
MURRAY,26.0,427.0,0.0,0.0,0.0
NEWTON,10.0,0.0,0.0,0.0,0.0
OGLETHORPE,1319.0,1674.0,36.0,0.0,5.0
PAULDING,60.0,0.0,0.0,0.0,0.0
PEACH,0.0,3.0,0.0,0.0,0.0
PIERCE,14.0,978.0,0.0,0.0,6.0
RABUN,6.0,0.0,0.0,0.0,0.0
RICHMOND,0.0,6.0,0.0,0.0,0.0
SCREVEN,0.0,222.0,1100.0,0.0,0.0
SPALDING,6.0,0.0,0.0,144.0,5.0
STEPHENS,9.0,0.0,0.0,0.0,13.0
TALBOT,16.0,20.0,0.0,0.0,0.0
TALIAFERRO,1148.0,760.0,896.0,1344.0,0.0
TATTNALL,265.0,6.0,0.0,0.0,0.0
TAYLOR,0.0,0.0,0.0,0.0,360.0
THOMAS,0.0,0.0,0.0,0.0,4590.0
TIFT,209.0,326.0,0.0,10.0,44.0
TOOMBS,18.0,0.0,0.0,0.0,0.0
TOWNS,0.0,0.0,0.0,32.0,0.0
TREUTLEN,0.0,0.0,0.0,34.0,0.0
TROUP,3.0,533.0,544.0,615.0,0.0
TURNER,0.0,24.0,0.0,0.0,0.0
TWIGGS,6.0,0.0,0.0,0.0,0.0
UPSON,8.0,15.0,15.0,439.0,0.0
WARREN,2605.0,1544.0,0.0,0.0,0.0
WAYNE,306.0,12.0,0.0,0.0,0.0
